Shift,ARL_Heuristic
1.0,66.09943326535598
1.1052631578947367,38.833446725128425
1.2105263157894737,25.075043671092942
1.3157894736842106,17.402281904591003
1.4210526315789473,12.77950775652209
1.526315789473684,9.818676417201088
1.631578947368421,7.826348644763499
1.736842105263158,6.430293112076358
1.8421052631578947,5.418486847271916
1.9473684210526314,4.664003889162531
2.052631578947368,4.0875841919254565
2.1578947368421053,3.637906333173623
2.263157894736842,3.280678813349646
2.3684210526315788,2.992351068843561
2.473684210526316,2.7563531165197888
2.5789473684210527,2.5607736337009093
2.6842105263157894,2.3968846867388542
2.789473684210526,2.258180156957052
2.894736842105263,2.1397344491803816
3.0,2.037765849958072
