Shift,ARL_Heuristic,ARL_Optimized,ARL_Aslam,ARL_Shewhart
1.0,66.09943326535598,392.24814579417335,370.00705086620025,369.9773713853996
1.1,39.781787404955274,197.61585219354174,185.82226898673446,192.34118621332672
1.2,26.103306894470485,111.65436140891342,104.61207251459557,112.1699758004327
1.3,18.31032594526328,68.88875133416686,64.30244982689437,71.42130170764221
1.4,13.540226663120606,45.549220538919556,42.36176371682922,48.703653041996056
1.5,10.448291698403247,31.83888694846823,29.510262750045683,35.072818005710424
1.75,6.286022509320977,15.610805538643096,14.37060654804572,18.396884249570924
2.0,4.357241004434678,9.217859598893165,8.451773956320624,11.477585794624861
2.5,2.704055541737654,4.53842035708641,4.160473922570814,6.0671887188006055
3.0,2.037765849958072,2.9398213860319395,2.7126601377353934,4.045491294810323
